left_pitch_m,right_pitch_m,middle_pitch_m,middle_gap_m,middle_radius_m,best_pair_i,best_pair_j,safe
0.4500000000000001,0.46000000000000013,0.4550000000000001,0.004653615534270378,4.569673913043478,0,19,True
0.4500000000000001,0.4550000000000001,0.4525000000000001,0.0021595497781437267,4.5718292490118575,0,19,True
0.4500000000000001,0.4525000000000001,0.45125000000000015,0.0009120163232640977,4.571487747035573,0,19,True
0.4500000000000001,0.45125000000000015,0.45062500000000016,0.0002879337495758638,4.571942583732057,0,19,True
0.4500000000000001,0.45062500000000016,0.4503125000000001,-2.2673696299269075e-05,4.571856459330143,0,19,False
0.4503125000000001,0.45062500000000016,0.45046875000000014,0.00013255838539141807,4.5718995215311,0,19,True
0.4503125000000001,0.45046875000000014,0.45039062500000016,5.492443218793608e-05,4.571877990430622,0,19,True
0.4503125000000001,0.45039062500000016,0.45035156250000014,1.6120889604620547e-05,4.571867224880383,0,19,True
0.4503125000000001,0.45035156250000014,0.4503320312500001,-3.2775229678594364e-06,4.571861842105263,0,19,False
0.4503320312500001,0.45035156250000014,0.4503417968750001,6.421403423995109e-06,4.571864533492823,0,19,True
0.4503320312500001,0.4503417968750001,0.4503369140625001,1.57187025098815e-06,4.571863187799043,0,19,True
0.4503320312500001,0.4503369140625001,0.4503344726562501,-8.528438527333204e-07,4.571862514952153,0,19,False
0.4503344726562501,0.4503369140625001,0.45033569335937507,3.5950882742996626e-07,4.571862851375598,0,19,True
0.4503344726562501,0.45033569335937507,0.45033508300781255,-2.4666860995448125e-07,4.571862683163875,0,19,False
